robert de niro
jack nicholson
marlon brando
denzel washington
clark gable
tom hanks
humphrey bogart
leonardo dicaprio
steve mcqueen
bruce lee
jacky chan
morgan freeman
johnny depp
charles chaplin
paul newman
katharine hepburn
meryl streep
elizabeth taylor
audrey hepburn
halle berry
marilyn monroe
julia roberts
jodie foster
